BAD,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,LoanValueRatio,JOB_missing,YOJ_missing,DEROG_missing,DELINQ_missing,NINQ_missing,DEBTINC_missing,LoanValueRatio_missing
0,DebtCon,Sales,,0.0,0.0,127.49881344,0.0,22.0,40.308259362,0.7335431533326454,0,1,0,0,0,0,0
0,HomeImp,ProfExe,7.0,0.0,0.0,177.95825512,1.0,28.0,26.257970132,0.7862165231790951,0,0,0,0,0,0,0
0,HomeImp,Other,1.0,1.0,0.0,273.88170516,0.0,6.0,39.852146515,0.9665390192214746,0,0,0,0,0,0,0
1,HomeImp,Other,10.0,0.0,0.0,69.0,0.0,17.0,,0.7671980314539424,0,0,0,0,0,1,0
0,DebtCon,Other,1.0,0.0,0.0,258.78929762,0.0,14.0,26.722343337,,0,0,0,0,0,0,1
0,HomeImp,ProfExe,6.0,0.0,0.0,181.66304016,0.0,28.0,25.444759149,0.7608871167059367,0,0,0,0,0,0,0
0,DebtCon,Other,2.0,0.0,0.0,277.94456081,1.0,14.0,23.644691283,,0,0,0,0,0,0,1
1,HomeImp,Other,11.0,0.0,0.0,21.2,0.0,2.0,,0.49259466027388266,0,0,0,0,0,1,0
0,HomeImp,Other,10.0,,,417.63333333,2.0,50.0,,0.8393582887700535,0,0,1,1,0,1,0
1,DebtCon,Other,0.0,1.0,2.0,86.233333333,2.0,13.0,,0.6058823529411764,0,0,0,0,0,1,0
1,HomeImp,Sales,7.0,1.0,0.0,157.85980209,0.0,36.0,25.650741224,0.9474466960352423,0,0,0,0,0,0,0
0,HomeImp,Other,0.0,2.0,0.0,290.03410799,0.0,6.0,38.766985071,0.8234109041792104,0,0,0,0,0,0,0
0,DebtCon,Other,0.0,0.0,0.0,125.78740011,1.0,10.0,34.446079222,0.8224635794691297,0,0,0,0,0,0,0
0,DebtCon,Other,0.0,0.0,0.0,121.0759726,2.0,9.0,36.401729548,0.8156577103766587,0,0,0,0,0,0,0
0,HomeImp,Other,2.0,0.0,0.0,108.07259081,0.0,15.0,43.290139816,0.8498195126842475,0,0,0,0,0,0,0
0,DebtCon,Other,2.0,0.0,0.0,266.81346457,1.0,14.0,23.797401058,,0,0,0,0,0,0,1
0,HomeImp,Other,9.0,0.0,1.0,119.7,0.0,25.0,,0.9376623376623376,0,0,0,0,0,1,0
0,HomeImp,Office,11.0,,,184.29668729,,19.0,24.414763177,0.9013097662599727,0,0,1,1,1,0,0
0,DebtCon,Other,0.0,1.0,0.0,17.2,10.0,7.0,,0.9307692307692308,0,0,0,0,0,1,0
1,DebtCon,Other,1.0,0.0,1.0,81.1,1.0,2.0,,,0,0,0,0,0,1,1
0,HomeImp,Office,24.0,0.0,0.0,123.76666667,1.0,12.0,,0.8768181818181818,0,0,0,0,0,1,0
0,HomeImp,Self,,0.0,0.0,221.11808171,0.0,11.0,42.712093844,0.47633168831743644,0,1,0,0,0,0,0
1,HomeImp,Other,0.0,0.0,0.0,157.77103572,1.0,13.0,72.670433313,1.1577908771219672,0,0,0,0,0,0,0
0,HomeImp,Sales,4.0,1.0,0.0,175.32870382,1.0,22.0,40.442570389,1.1102117921702939,0,0,0,0,0,0,0
1,HomeImp,Other,,0.0,0.0,302.35870946,0.0,8.0,39.196985402,0.8927324131049393,0,1,0,0,0,0,0
0,HomeImp,,0.0,0.0,0.0,,0.0,0.0,12.043670576,,1,0,0,0,0,0,1
0,HomeImp,Office,7.0,,,184.74276716,,18.0,27.906122726,0.9925009373828272,0,0,1,1,1,0,0
1,HomeImp,Mgr,10.0,1.0,0.0,98.333333333,0.0,12.0,,0.8796875,0,0,0,0,0,1,0
0,DebtCon,Other,0.0,0.0,0.0,124.1821788,1.0,10.0,34.599060194,0.8860996913950471,0,0,0,0,0,0,0
0,HomeImp,Office,22.0,0.0,0.0,109.93390789,1.0,11.0,35.8385427,0.8729280826295561,0,0,0,0,0,0,0
0,HomeImp,Mgr,10.0,,1.0,212.89174607,0.0,25.0,38.591494028,0.8181278301536634,0,0,1,0,0,0,0
0,DebtCon,ProfExe,0.0,,,,,,28.423961906,0.9178072286667562,0,0,1,1,1,0,0
0,HomeImp,Office,19.0,0.0,0.0,208.16271401,0.0,20.0,19.762113701,0.8255575553642696,0,0,0,0,0,0,0
0,HomeImp,Office,21.0,0.0,0.0,197.24195728,0.0,20.0,19.350505633,0.8932128278031037,0,0,0,0,0,0,0
0,DebtCon,,5.0,,0.0,69.542430107,,16.0,36.480236299,0.912006821176653,1,0,1,0,1,0,0
0,HomeImp,Office,1.0,0.0,0.0,40.709849004,0.0,4.0,37.848771035,,0,0,0,0,0,0,1
0,HomeImp,Office,8.0,,,189.03430464,,18.0,24.701136262,1.0231360491929284,0,0,1,1,1,0,0
1,DebtCon,Sales,4.0,0.0,0.0,95.6,0.0,22.0,,0.8860982020085983,0,0,0,0,0,1,0
1,HomeImp,ProfExe,5.0,0.0,1.0,199.9,1.0,20.0,,1.0263199369582348,0,0,0,0,0,1,0
0,HomeImp,ProfExe,5.0,0.0,0.0,185.07634726,1.0,28.0,26.354889295,0.7703386012048796,0,0,0,0,0,0,0
0,DebtCon,Sales,2.0,0.0,0.0,136.63294416,0.0,30.0,32.05002349,0.8994095062208398,0,0,0,0,0,0,0
0,HomeImp,Other,4.0,0.0,0.0,122.9402886,0.0,15.0,44.092325682,0.8295359239586245,0,0,0,0,0,0,0
1,HomeImp,ProfExe,8.0,0.0,0.0,102.5,3.0,19.0,,0.9511363636363637,0,0,0,0,0,1,0
0,DebtCon,,6.0,,0.0,78.452125766,,16.0,35.763637997,0.9604017216642755,1,0,1,0,1,0,0
0,HomeImp,Other,8.0,0.0,1.0,116.59197688,0.0,24.0,37.612682724,0.9215850374790772,0,0,0,0,0,0,0
0,DebtCon,ProfExe,22.0,0.0,0.0,55.558049044,2.0,13.0,31.375542416,0.9229315309787933,0,0,0,0,0,0,0
0,HomeImp,Office,20.0,0.0,0.0,189.29531847,0.0,19.0,20.654128896,0.8976696283087896,0,0,0,0,0,0,0
1,DebtCon,Other,1.0,0.0,3.0,153.93333333,3.0,27.0,,0.846531184302733,0,0,0,0,0,1,0
